session,date,equity,benchmarkEquity,dailyReturn,benchmarkReturn,close,exposureBars
1535,2012-10-26,103652.87713632338,106346.69868117808,-0.0007289817322604364,-0.0007289817322603254,1411.93994140625,1
1536,2012-10-31,103669.03451563868,106363.27597258564,0.00015587969925845435,0.0001558796992586764,1412.1600341796875,1
1537,2012-11-01,104801.77165385906,107525.45167336114,0.010926475234507071,0.010926475234507071,1427.5899658203125,1
1538,2012-11-02,103818.7882403962,106516.92162799979,-0.009379454163327305,-0.009379454163327194,1414.199951171875,1
1539,2012-11-05,104043.43226961179,106747.40390254481,0.002163809008205897,0.002163809008205897,1417.260009765625,1
1540,2012-11-06,104860.50457900183,107585.71100108445,0.007853184882182118,0.007853184882181896,1428.3900146484375,1
1541,2012-11-07,102374.78631396877,105035.3917177123,-0.023705000038029778,-0.023705000038029667,1394.530029296875,1
1542,2012-11-08,101125.3181591311,103753.45129265789,-0.01220484261628374,-0.01220484261628385,1377.510009765625,1
1543,2012-11-09,101297.09897116372,103929.69649453892,0.001698692425988746,0.001698692425988746,1379.8499755859375,1
1544,2012-11-12,101310.31701580601,103943.25806127556,0.00013048788935265954,0.00013048788935265954,1380.030029296875,1
1545,2012-11-13,100906.55279926151,103529.00046745472,-0.0039854205221913075,-0.0039854205221913075,1374.530029296875,1
1546,2012-11-14,99508.7916256166,102094.9130550391,-0.013852035718884825,-0.013852035718884825,1355.489990234375,1
1547,2012-11-15,99350.21989684009,101932.22022561218,-0.0015935449138314572,-0.0015935449138313462,1353.3299560546875,1
1548,2012-11-16,99831.0699574612,102425.56703778454,0.00483994963594836,0.00483994963594836,1359.8800048828125,1
1549,2012-11-19,101813.92003598425,104459.9491568,0.019862053761098286,0.019862053761098286,1386.8900146484375,1
1550,2012-11-20,101881.46200375982,104529.24646425355,0.0006633863793055195,0.0006633863793052974,1387.81005859375,1
1551,2012-11-21,102117.84544889501,104771.77324891722,0.002320181125065268,0.0023201811250654902,1391.030029296875,1
1552,2012-11-23,103448.06465476434,106136.56335387928,0.013026314842639719,0.013026314842639719,1409.1500244140625,1
1553,2012-11-26,103238.10833752755,105921.15050840634,-0.0020295818770266205,-0.0020295818770267315,1406.2900390625,1
1554,2012-11-27,102698.52535176366,105367.54436851066,-0.0052265872985561845,-0.0052265872985560735,1398.93994140625,1
1555,2012-11-28,103505.3279125706,106195.31481926712,0.00785602868243207,0.00785602868243207,1409.9300537109375,1
1556,2012-11-29,103947.2586729331,106648.73086239732,0.004269642628790926,0.004269642628790704,1415.949951171875,1
1557,2012-11-30,103964.15088591664,106666.06208497261,0.00016250753698754394,0.00016250753698754394,1416.1800537109375,1
1558,2012-12-03,103470.81761432148,106159.90763723134,-0.004745224843287654,-0.004745224843287543,1409.4599609375,1
1559,2012-12-04,103293.90192799731,105978.39411145874,-0.0017098123935156417,-0.0017098123935155307,1407.050048828125,1
1560,2012-12-05,103457.60853106539,106146.35526477724,0.0015848622233496368,0.0015848622233496368,1409.280029296875,1
1561,2012-12-06,103799.7004877941,106497.33780620384,0.0033065906083262764,0.0033065906083264984,1413.93994140625,1
1562,2012-12-07,104102.89106703662,106808.40796715333,0.0029209195962773826,0.0029209195962771606,1418.0699462890625,1
1563,2012-12-10,104138.13619895399,106844.56908035684,0.00033856054866587826,0.0003385605486661003,1418.550048828125,1
1564,2012-12-11,104820.1245727929,107544.28156398935,0.0065488820784731505,0.0065488820784729285,1427.8399658203125,1
1565,2012-12-12,104867.10912062987,107592.4871873115,0.0004482397633895907,0.0004482397633895907,1428.47998046875,1
1566,2012-12-13,104204.19953800685,106912.3493311924,-0.0063214251654488685,-0.0063214251654488685,1419.449951171875,1
1567,2012-12-14,103773.27335989573,106470.2238670131,-0.004135401260425775,-0.004135401260425775,1413.5799560546875,1
1568,2012-12-17,105005.12342946781,107734.08833260702,0.011870590853387819,0.011870590853387819,1430.3599853515625,1
1569,2012-12-18,106211.28120480975,108971.59279017792,0.011486656421599406,0.011486656421599406,1446.7900390625,1
1570,2012-12-19,105405.22243905725,108144.58546487172,-0.007589201039747917,-0.007589201039747917,1435.81005859375,1
1571,2012-12-20,105983.69784092117,108738.09479096197,0.005488109492851612,0.00548810949285139,1443.68994140625,1
1572,2012-12-21,104989.70984520696,107718.27416664972,-0.009378687628036508,-0.009378687628036508,1430.1500244140625,1
1573,2012-12-24,104733.50381380145,107455.40962902238,-0.002440296594621083,-0.002440296594621083,1426.6600341796875,1
1574,2012-12-26,104232.09633324175,106940.9711327186,-0.004787460194696891,-0.004787460194696891,1419.8299560546875,1
1575,2012-12-27,104105.09556804136,106810.66976065653,-0.001218442012279497,-0.001218442012279386,1418.0999755859375,1
1576,2012-12-28,102954.74034455538,105630.41810042053,-0.011049941573072486,-0.011049941573072486,1402.4300537109375,1
1577,2012-12-31,104698.99351555231,107420.0024469866,0.016941941334216448,0.016941941334216448,1426.18994140625,1
1578,2013-01-02,107358.70605500892,110148.83792002551,0.025403420320955883,0.025403420320955883,1462.4200439453125,1
1579,2013-01-03,107134.7968594616,109919.10957664822,-0.0020856174946128903,-0.0020856174946130013,1459.3699951171875,1
1580,2013-01-04,107656.01796490543,110453.87663163316,0.004865096315322948,0.004865096315322948,1466.469970703125,1
1581,2013-01-07,107319.7957161365,110108.91634526588,-0.0031231161538831653,-0.0031231161538831653,1461.8900146484375,1
1582,2013-01-08,106971.82509006177,109751.90235449745,-0.003242371304872038,-0.003242371304871927,1457.1500244140625,1
1583,2013-01-09,107255.92791670217,110043.38869365098,0.002655865938542279,0.002655865938542279,1461.02001953125,1
1584,2013-01-10,108070.79572508748,110879.43399868743,0.007597415119266371,0.007597415119266371,1472.1199951171875,1
1585,2013-01-11,108065.66085079593,110874.16567479583,-4.751398615221447e-05,-4.7513986152325494e-05,1472.050048828125,1
1586,2013-01-14,107965.08721349393,110770.9782419245,-0.0009306715612544814,-0.0009306715612542593,1470.6800537109375,1
1587,2013-01-15,108086.94414301656,110896.00209581245,0.0011286697641588184,0.0011286697641588184,1472.3399658203125,1
1588,2013-01-16,108108.23639662341,110917.8477111116,0.0001969919103150808,0.00019699191031485874,1472.6300048828125,1
1589,2013-01-17,108718.28276206345,111543.7484945667,0.005642922184040833,0.005642922184040833,1480.93994140625,1
1590,2013-01-18,109088.28047541327,111923.36203180201,0.0034032703971196288,0.0034032703971196288,1485.97998046875,1
1591,2013-01-22,109571.33503703913,112418.97063747759,0.004428106846314561,0.004428106846314561,1492.56005859375,1
1592,2013-01-23,109736.51130744368,112588.43965313156,0.001507477027168802,0.001507477027168802,1494.81005859375,1
1593,2013-01-24,109737.23717972574,112589.18439001676,6.614683421224399e-06,6.614683421224399e-06,1494.8199462890625,1
1594,2013-01-25,110334.80929557794,113202.28673218549,0.005445481690718346,0.005445481690718124,1502.9599609375,1
1595,2013-01-28,110130.73164768713,112992.9053360544,-0.0018496216125601928,-0.0018496216125601928,1500.1800537109375,1
1596,2013-01-29,110693.05863162196,113569.84656501963,0.005105995170664235,0.005105995170664235,1507.8399658203125,1
1597,2013-01-30,110261.39761984258,113126.96716967261,-0.0038996213232838084,-0.0038996213232838084,1501.9599609375,1
1598,2013-01-31,109978.76446053867,112836.98869285453,-0.0025633010773032927,-0.0025633010773034037,1498.1099853515625,1
1599,2013-02-01,111084.34859857861,113971.3057175541,0.010052705569688625,0.010052705569688847,1513.1700439453125,1
1600,2013-02-04,109802.57464649656,112656.21990396712,-0.011538744820964397,-0.011538744820964397,1495.7099609375,1
1601,2013-02-05,110946.33428974068,113829.70457225859,0.010416510240551125,0.010416510240551125,1511.2900390625,1
1602,2013-02-06,111007.26275450201,113892.21649920256,0.0005491705981217621,0.0005491705981217621,1512.1199951171875,1
1603,2013-02-07,110806.85031356625,113686.59556462761,-0.0018053993582292094,-0.0018053993582290984,1509.3900146484375,1
1604,2013-02-08,111433.78889198984,114329.827570658,0.005657940611518697,0.005657940611518475,1517.9300537109375,1
1605,2013-02-11,111366.24692421427,114260.53026320445,-0.000606117484177382,-0.000606117484177382,1517.010009765625,1
1606,2013-02-12,111543.90640559289,114442.80691442732,0.001595272232703726,0.001595272232703504,1519.4300537109375,1
1607,2013-02-13,111609.96974464576,114510.58716526288,0.000592263093356804,0.000592263093356804,1520.3299560546875,1
1608,2013-02-14,111687.05558872236,114589.67638361442,0.0006906716689643044,0.0006906716689645265,1521.3800048828125,1
1609,2013-02-15,111570.33353349127,114469.92085361805,-0.0010450813177572682,-0.0010450813177572682,1519.7900390625,1
1610,2013-02-19,112388.86654883162,115309.72662021063,0.007336475471722448,0.007336475471722448,1530.93994140625,1
1611,2013-02-20,110994.77954352795,113879.40886363367,-0.01240413795523021,-0.012404137955230099,1511.949951171875,1
1612,2013-02-21,110295.17308442346,113161.62042054065,-0.006303057332801343,-0.006303057332801343,1502.4200439453125,1
1613,2013-02-22,111262.73395223927,114154.32710566217,0.008772467921830174,0.008772467921830174,1515.5999755859375,1
1614,2013-02-25,109225.55995058295,112064.2092459298,-0.018309580659152336,-0.018309580659152225,1487.8499755859375,1
1615,2013-02-26,109892.86957382926,112748.86149477276,0.006109463971145868,0.006109463971145868,1496.93994140625,1
1616,2013-02-27,111291.36558114241,114183.7028383561,0.012725994077109837,0.012725994077109615,1515.989990234375,1
1617,2013-02-28,111195.20094584991,114085.03899249116,-0.0008640799292052304,-0.0008640799292051193,1514.6800537109375,1
